     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
103        4.0      4.0     32768.0    32768.0             16.0  0.005985  15.512998
26         4.0      8.0      1024.0    32768.0             16.0  0.000660  15.145828
104        4.0      8.0     32768.0    32768.0             16.0  0.012432  23.757234
27         8.0      2.0      1024.0    32768.0             16.0  0.001028  12.635155
105        8.0      2.0     32768.0    32768.0             16.0  0.013562  14.552420
28         8.0      4.0      1024.0    32768.0             16.0  0.000518  18.720597
106        8.0      4.0     32768.0    32768.0             16.0  0.002155  28.231804
29         8.0      8.0      1024.0    32768.0             16.0  0.000428  21.267800
107        8.0      8.0     32768.0    32768.0             16.0  0.000000  15.967909
30         4.0      2.0      1024.0    32768.0             64.0  0.001597   7.276045
108        4.0      2.0     32768.0    32768.0             64.0  0.039594   8.412821
31         4.0      4.0      1024.0    32768.0             64.0  0.000077  13.053564
109        4.0      4.0     32768.0    32768.0             64.0  0.014852  16.479810
32         4.0      8.0      1024.0    32768.0             64.0  0.000322  19.149779
110        4.0      8.0     32768.0    32768.0             64.0  0.003750  29.311560
33         8.0      2.0      1024.0    32768.0             64.0  0.000800  13.346229
111        8.0      2.0     32768.0    32768.0             64.0  0.010024  16.714790
34         8.0      4.0      1024.0    32768.0             64.0  0.000813  20.429701
112        8.0      4.0     32768.0    32768.0             64.0  0.005619  29.980401
35         8.0      8.0      1024.0    32768.0             64.0  0.000613  24.701671
113        8.0      8.0     32768.0    32768.0             64.0  0.000000  21.396447
36         4.0      2.0      1024.0    32768.0            256.0  0.001228   6.001641
114        4.0      2.0     32768.0    32768.0            256.0  0.018963   8.580995
37         4.0      4.0      1024.0    32768.0            256.0  0.000054  10.590567
115        4.0      4.0     32768.0    32768.0            256.0  0.018579  16.388753
38         4.0      8.0      1024.0    32768.0            256.0  0.000482  14.772923
116        4.0      8.0     32768.0    32768.0            256.0  0.005896  29.810294
39         8.0      2.0      1024.0    32768.0            256.0  0.000750  11.974770
117        8.0      2.0     32768.0    32768.0            256.0  0.014858  16.160849
40         8.0      4.0      1024.0    32768.0            256.0  0.000125  18.507140
118        8.0      4.0     32768.0    32768.0            256.0  0.003069  30.283748
41         8.0      8.0      1024.0    32768.0            256.0  0.000590  22.160278
119        8.0      8.0     32768.0    32768.0            256.0  0.000000  25.343335
42         4.0      2.0      1024.0    32768.0           1024.0  0.002041   1.064064
120        4.0      2.0     32768.0    32768.0           1024.0  0.012748   8.380089
43         4.0      4.0      1024.0    32768.0           1024.0  0.002339   1.373029
121        4.0      4.0     32768.0    32768.0           1024.0  0.015231  16.135866
44         4.0      8.0      1024.0    32768.0           1024.0  0.002433   1.625168
122        4.0      8.0     32768.0    32768.0           1024.0  0.005915  29.619678
45         8.0      2.0      1024.0    32768.0           1024.0  0.001169   2.082403
123        8.0      2.0     32768.0    32768.0           1024.0  0.015815  15.801225
46         8.0      4.0      1024.0    32768.0           1024.0  0.000523   1.801421
124        8.0      4.0     32768.0    32768.0           1024.0  0.009846  31.397901
47         8.0      8.0      1024.0    32768.0           1024.0  0.001672   1.942280
125        8.0      8.0     32768.0    32768.0           1024.0  0.315191  11.401608
126        4.0      2.0     32768.0    32768.0           4096.0  0.014825   7.468222
127        4.0      4.0     32768.0    32768.0           4096.0  0.008371  14.693462
128        4.0      8.0     32768.0    32768.0           4096.0  0.008130  24.275148
129        8.0      2.0     32768.0    32768.0           4096.0  0.017094  13.931497
130        8.0      4.0     32768.0    32768.0           4096.0  0.006301  27.080613
131        8.0      8.0     32768.0    32768.0           4096.0  0.000000  20.826135
48         4.0      2.0      1024.0  1048576.0             16.0  0.013579   7.432016
49         4.0      4.0      1024.0  1048576.0             16.0  0.009700  15.579843
50         4.0      8.0      1024.0  1048576.0             16.0  0.006604  19.604437
51         8.0      2.0      1024.0  1048576.0             16.0  0.009062  14.400156
52         8.0      4.0      1024.0  1048576.0             16.0  0.004433  27.149105
53         8.0      8.0      1024.0  1048576.0             16.0  0.004356  32.349538
54         4.0      2.0      1024.0  1048576.0             64.0  0.030267   7.703581
55         4.0      4.0      1024.0  1048576.0             64.0  0.008948  16.930509
56         4.0      8.0      1024.0  1048576.0             64.0  0.006540  22.370737
57         8.0      2.0      1024.0  1048576.0             64.0  0.003482  15.331117
58         8.0      4.0      1024.0  1048576.0             64.0  0.003468  30.463810
59         8.0      8.0      1024.0  1048576.0             64.0  0.005558  36.898905
60         4.0      2.0      1024.0  1048576.0            256.0  0.036132   6.409195
61         4.0      4.0      1024.0  1048576.0            256.0  0.007531  13.145044
62         4.0      8.0      1024.0  1048576.0            256.0  0.011403  18.537593
63         8.0      2.0      1024.0  1048576.0            256.0  0.009390  12.420365
64         8.0      4.0      1024.0  1048576.0            256.0  0.010691  24.216443
65         8.0      8.0      1024.0  1048576.0            256.0  0.010553  28.023375
66         4.0      2.0      1024.0  1048576.0           1024.0  0.006938   2.420433
67         4.0      4.0      1024.0  1048576.0           1024.0  0.027185   2.758245
68         4.0      8.0      1024.0  1048576.0           1024.0  0.010942   2.997334
69         8.0      2.0      1024.0  1048576.0           1024.0  0.009263   4.525511
70         8.0      4.0      1024.0  1048576.0           1024.0  0.017258   4.864562
71         8.0      8.0      1024.0  1048576.0           1024.0  0.024660   4.596918
