     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
33         4.0      4.0      1024.0    32768.0            256.0  0.000741   9.157532
89         4.0      4.0     32768.0    32768.0            256.0  0.003778  46.173139
34         4.0      8.0      1024.0    32768.0            256.0  0.008105   1.945437
90         4.0      8.0     32768.0    32768.0            256.0  0.040266  38.365764
35         8.0      2.0      1024.0    32768.0            256.0  0.003021   7.046276
36         8.0      4.0      1024.0    32768.0            256.0  0.017601   1.436748
91         8.0      4.0     32768.0    32768.0            256.0  0.009487  40.826509
37         8.0      8.0      1024.0    32768.0            256.0  0.007952   0.535479
92         8.0      8.0     32768.0    32768.0            256.0  0.000000  25.343335
38         4.0      2.0      1024.0    32768.0           1024.0  0.003341   1.281643
93         4.0      2.0     32768.0    32768.0           1024.0  0.025097  14.331970
39         4.0      4.0      1024.0    32768.0           1024.0  0.000878   1.045180
94         4.0      4.0     32768.0    32768.0           1024.0  0.008214  44.005098
40         4.0      8.0      1024.0    32768.0           1024.0  0.020310   0.254260
95         4.0      8.0     32768.0    32768.0           1024.0  0.016056  36.020775
41         8.0      2.0      1024.0    32768.0           1024.0  0.000945   1.169546
96         8.0      2.0     32768.0    32768.0           1024.0  0.000000  26.569890
42         8.0      4.0      1024.0    32768.0           1024.0  0.027054   0.158960
97         8.0      4.0     32768.0    32768.0           1024.0  0.025194  29.385061
43         8.0      8.0      1024.0    32768.0           1024.0  0.001860   0.078961
98         8.0      8.0     32768.0    32768.0           1024.0  0.315191  11.401608
99         4.0      2.0     32768.0    32768.0           4096.0  0.000000  14.964532
100        4.0      4.0     32768.0    32768.0           4096.0  0.000000  32.961342
101        4.0      8.0     32768.0    32768.0           4096.0  0.000000  38.733748
102        8.0      4.0     32768.0    32768.0           4096.0  0.000000  44.661561
103        8.0      8.0     32768.0    32768.0           4096.0  0.000000  20.826135
44         4.0      2.0      1024.0  1048576.0             16.0  0.000000  10.956777
45         4.0      4.0      1024.0  1048576.0             16.0  0.000000  14.754909
46         4.0      8.0      1024.0  1048576.0             16.0  0.000000   7.462825
47         8.0      4.0      1024.0  1048576.0             16.0  0.000000   5.974063
48         8.0      8.0      1024.0  1048576.0             16.0  0.000000   4.052337
49         4.0      2.0      1024.0  1048576.0             64.0  0.000756  12.432966
50         4.0      4.0      1024.0  1048576.0             64.0  0.000000  21.175371
51         8.0      2.0      1024.0  1048576.0             64.0  0.000000  10.644685
52         8.0      4.0      1024.0  1048576.0             64.0  0.000000  10.475794
53         4.0      4.0      1024.0  1048576.0           1024.0  0.019879   2.650973
