     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
35         8.0      8.0      1024.0    32768.0             64.0  0.000613  24.701671
41         8.0      8.0      1024.0    32768.0            256.0  0.000590  22.160278
47         8.0      8.0      1024.0    32768.0           1024.0  0.001672   1.942280
48         4.0      2.0      1024.0  1048576.0             16.0  0.013579   7.432016
54         4.0      2.0      1024.0  1048576.0             64.0  0.030267   7.703581
60         4.0      2.0      1024.0  1048576.0            256.0  0.036132   6.409195
66         4.0      2.0      1024.0  1048576.0           1024.0  0.006938   2.420433
49         4.0      4.0      1024.0  1048576.0             16.0  0.009700  15.579843
55         4.0      4.0      1024.0  1048576.0             64.0  0.008948  16.930509
61         4.0      4.0      1024.0  1048576.0            256.0  0.007531  13.145044
67         4.0      4.0      1024.0  1048576.0           1024.0  0.027185   2.758245
50         4.0      8.0      1024.0  1048576.0             16.0  0.006604  19.604437
56         4.0      8.0      1024.0  1048576.0             64.0  0.006540  22.370737
62         4.0      8.0      1024.0  1048576.0            256.0  0.011403  18.537593
68         4.0      8.0      1024.0  1048576.0           1024.0  0.010942   2.997334
51         8.0      2.0      1024.0  1048576.0             16.0  0.009062  14.400156
57         8.0      2.0      1024.0  1048576.0             64.0  0.003482  15.331117
63         8.0      2.0      1024.0  1048576.0            256.0  0.009390  12.420365
69         8.0      2.0      1024.0  1048576.0           1024.0  0.009263   4.525511
52         8.0      4.0      1024.0  1048576.0             16.0  0.004433  27.149105
58         8.0      4.0      1024.0  1048576.0             64.0  0.003468  30.463810
64         8.0      4.0      1024.0  1048576.0            256.0  0.010691  24.216443
70         8.0      4.0      1024.0  1048576.0           1024.0  0.017258   4.864562
53         8.0      8.0      1024.0  1048576.0             16.0  0.004356  32.349538
59         8.0      8.0      1024.0  1048576.0             64.0  0.005558  36.898905
65         8.0      8.0      1024.0  1048576.0            256.0  0.010553  28.023375
71         8.0      8.0      1024.0  1048576.0           1024.0  0.024660   4.596918
72         4.0      2.0     32768.0     1024.0             16.0  0.001614   6.244895
78         4.0      2.0     32768.0     1024.0             64.0  0.001138   7.353934
84         4.0      2.0     32768.0     1024.0            256.0  0.000948   7.531481
